unique words	median word length	english percent	full text path	original path
1126	6	0.95737123	6/6f21f657.txt	https://onbeing.org/programs/mary-catherine-bateson-composing-a-life
1507	6	0.94625086	3/3a81cb71.txt	https://onbeing.org/programs/mary-doria-russell-the-novelist-as-god
1204	6	0.95681065	1/1f26d117.txt	https://onbeing.org/programs/mary-karr-astonished-by-the-human-comedy
1105	6	0.9710407	5/593e30f2.txt	https://onbeing.org/programs/mary-oliver-listening-to-the-world
1268	6	0.96056783	c/c51f5d8f.txt	https://onbeing.org/programs/matthew-sanford-the-bodys-grace
1352	7	0.94822484	b/bb716bdb.txt	https://onbeing.org/programs/mayfair-yang-chinas-hidden-spiritual-landscape
1310	7	0.94961834	b/be3d4105.txt	https://onbeing.org/programs/maya-angelou-elizabeth-alexander-arnold-rampersad-w-e-b-du-bois-and-the-american-soul
1239	6	0.9491525	d/dcd7ab87.txt	https://onbeing.org/programs/mercedes-doretti-laying-the-dead-to-rest
1256	6	0.9482484	d/d256ce4f.txt	https://onbeing.org/programs/meredith-monk-archaeologist-of-the-human-voice
1423	7	0.9437807	a/a7104883.txt	https://onbeing.org/programs/matthieu-ricard-happiness-as-human-flourishing-jul2017
1382	7	0.9536903	3/30c9d5af.txt	https://onbeing.org/programs/michael-cromartie-and-e-j-dionne-religion-on-the-campaign-trail
1172	6	0.95051193	5/5e5a9fe2.txt	https://onbeing.org/programs/michael-longley-the-vitality-of-ordinary-things
1257	7	0.96897376	6/6beabf81.txt	https://onbeing.org/programs/michelle-alexander-who-we-want-to-become-beyond-the-new-jim-crow
1342	7	0.9552906	d/d3d6a14f.txt	https://onbeing.org/programs/michael-mccullough-getting-revenge-and-forgiveness
1221	7	0.96150696	4/4ed9a2ac.txt	https://onbeing.org/programs/mike-rose-the-intelligence-in-all-kinds-of-work-and-the-human-core-of-all-education-that-matters
